   0.31000    6.46263    0.00000
   0.36000    7.13229    0.00000
   0.40000    7.61509    0.00000
   0.44000    8.05531    0.00000
   0.48000    8.45665    0.00000
   0.52000    8.82242    0.00000
   0.56000    9.15565    0.00000
   0.59000    9.38585    0.00000
   0.64000    9.73508    0.00000
   0.31000 11972.53288    0.00000
   0.36000 12328.78116    0.00000
   0.40000 12625.34155    0.00000
   0.44000 12931.93612    0.00000
   0.48000 13248.33807    0.00000
   0.52000 13574.32009    0.00000
   0.56000 13909.65624    0.00000
   0.59000 14167.16234    0.00000
   0.64000 14607.50052    0.00000
